"filename", "language", "Django HTML", "CSS", "JavaScript", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\asgi.py", "Python", 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\settings.py", "Python", 0, 0, 0, 0, 91, 29, 35, 155
"c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\urls.py", "Python", 0, 0, 0, 0, 12, 15, 3, 30
"c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\wsgi.py", "Python", 0, 0, 0, 0, 4, 8, 5, 17
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\admin.py", "Python", 0, 0, 0, 0, 28, 0, 9, 37
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\forms.py", "Python", 0, 0, 0, 0, 59, 0, 16, 75
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 23, 1, 7, 31
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0002_otpcode_alter_user_phone_number.py", "Python", 0, 0, 0, 0, 20, 1, 6, 27
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0003_alter_otpcode_code_alter_otpcode_phone.py", "Python", 0, 0, 0, 0, 17, 1, 6, 24
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0004_alter_otpcode_phone.py", "Python", 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0005_user_defualt_address.py", "Python", 0, 0, 0, 0, 14, 1, 6, 21
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\models.py", "Python", 0, 0, 0, 0, 72, 0, 28, 100
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\templates\account\login.html", "Django HTML", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\templates\account\register.html", "Django HTML", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\templates\account\verify_code.html", "Django HTML", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\urls.py", "Python", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\utils.py", "Python", 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\views.py", "Python", 0, 0, 0, 0, 115, 0, 29, 144
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\admin.py", "Python", 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 29, 1, 7, 37
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0002_remove_itemsession_order_itemsession_cart.py", "Python", 0, 0, 0, 0, 17, 1, 6, 24
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0003_alter_itemsession_cart.py", "Python", 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0004_itemsession_craeted_itemsession_modified.py", "Python", 0, 0, 0, 0, 19, 1, 6, 26
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\models.py", "Python", 0, 0, 0, 0, 32, 0, 7, 39
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\templates\cart\checkout.html", "Django HTML", 64, 0, 0, 0, 0, 0, 4, 68
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\urls.py", "Python", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\utils.py", "Python", 0, 0, 0, 0, 57, 0, 15, 72
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\views.py", "Python", 0, 0, 0, 0, 46, 0, 6, 52
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\admin.py", "Python", 0, 0, 0, 0, 4, 1, 0, 5
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\contexts.py", "Python", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 36, 1, 7, 44
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\migrations\0002_alter_product_image.py", "Python", 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\models.py", "Python", 0, 0, 0, 0, 27, 0, 8, 35
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templates\home\detail.html", "Django HTML", 48, 0, 0, 0, 0, 0, 10, 58
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templates\home\index.html", "Django HTML", 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templatetags\base_tags.py", "Python", 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\urls.py", "Python", 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\views.py", "Python", 0, 0, 0, 0, 33, 0, 6, 39
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\admin.py", "Python", 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 41, 1, 7, 49
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0002_remove_paymentdetail_order_orderdetail_payment.py", "Python", 0, 0, 0, 0, 18, 1, 6, 25
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0003_remove_orderdetail_payment_paymentdetail_order.py", "Python", 0, 0, 0, 0, 18, 1, 6, 25
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0004_alter_paymentdetail_order.py", "Python", 0, 0, 0, 0, 13, 1, 6, 20
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\models.py", "Python", 0, 0, 0, 0, 44, 0, 12, 56
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\templates\order\payment.html", "Django HTML", 33, 0, 0, 0, 0, 4, 6, 43
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\urls.py", "Python", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\utils.py", "Python", 0, 0, 0, 0, 18, 0, 9, 27
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\views.py", "Python", 0, 0, 0, 0, 27, 0, 3, 30
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\admin.py", "Python", 0, 0, 0, 0, 5, 1, 0, 6
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\forms.py", "Python", 0, 0, 0, 0, 25, 0, 8, 33
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 18, 1, 7, 26
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\0002_address_to.py", "Python", 0, 0, 0, 0, 15, 1, 6, 22
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\0003_alter_address_to.py", "Python", 0, 0, 0, 0, 15, 1, 6, 22
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\models.py", "Python", 0, 0, 0, 0, 15, 1, 2, 18
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\addresses.html", "Django HTML", 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\create_address.html", "Django HTML", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\delete_address.html", "Django HTML", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\order_detail.html", "Django HTML", 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\orders.html", "Django HTML", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\profile.html", "Django HTML", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\urls.py", "Python", 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\views.py", "Python", 0, 0, 0, 0, 64, 0, 21, 85
"c:\Users\Pooya909\Desktop\Projects\shopapp\manage.py", "Python", 0, 0, 0, 0, 15, 3, 5, 23
"c:\Users\Pooya909\Desktop\Projects\shopapp\requirements.txt", "pip requirements", 0, 0, 0, 59, 0, 0, 0, 59
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\cart\edit_order.js", "JavaScript", 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\cart\in_checkout.js", "JavaScript", 0, 0, 64, 0, 0, 1, 8, 73
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\cart\in_detail.js", "JavaScript", 0, 0, 47, 0, 0, 0, 5, 52
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\pay\script.js", "JavaScript", 0, 0, 29, 0, 0, 1, 4, 34
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\detail.css", "CSS", 0, 14, 0, 0, 0, 4, 0, 18
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\order.css", "CSS", 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\payment.css", "CSS", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\style.css", "CSS", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Pooya909\Desktop\Projects\shopapp\templates\base.html", "Django HTML", 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Pooya909\Desktop\Projects\shopapp\templates\inc\message.html", "Django HTML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Pooya909\Desktop\Projects\shopapp\templates\inc\navbar.html", "Django HTML", 54, 0, 0, 0, 0, 0, 5, 59
"Total", "-", 415, 56, 171, 59, 1259, 99, 502, 2561